"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户添加功能","17078","测试用户添加流程","tests.test_orguser","Mon Jun 09 16:35:12 CST 2025","passed","Mon Jun 09 16:35:29 CST 2025","","test_user","",""
"测试登录功能","3487","登录测试","tests.test_orguser","Mon Jun 09 16:34:49 CST 2025","passed","Mon Jun 09 16:34:53 CST 2025","","test_login","",""
"","8408","测试流程：创建应用","tests.test_app","Mon Jun 09 16:36:02 CST 2025","passed","Mon Jun 09 16:36:11 CST 2025","","test_Create","",""
"","17925","测试流程：配置行为管控策略","tests.test_app","Mon Jun 09 16:36:16 CST 2025","passed","Mon Jun 09 16:36:34 CST 2025","","test_strategy","",""
"","3664","重新生成安装包","tests.test_link","Mon Jun 09 16:37:39 CST 2025","passed","Mon Jun 09 16:37:43 CST 2025","","test_recreate","",""
"","11024","创建连接器组","tests.test_link","Mon Jun 09 16:36:55 CST 2025","passed","Mon Jun 09 16:37:06 CST 2025","","test_link","",""
"数据安全操作","10492","数据安全","tests.test_app","Mon Jun 09 16:36:39 CST 2025","passed","Mon Jun 09 16:36:50 CST 2025","","test_Data_Security","",""
"测试添加部门功能流程","7593","测试添加部门功能流程","tests.test_orguser","Mon Jun 09 16:34:59 CST 2025","passed","Mon Jun 09 16:35:06 CST 2025","","test_orgstr","",""
"","8617","Linux下载","tests.test_link","Mon Jun 09 16:37:25 CST 2025","passed","Mon Jun 09 16:37:33 CST 2025","","test_dow_linux","",""
"更新用户状态（部门）","10757","更新用户状态（部门）","tests.test_orguser","Mon Jun 09 16:35:46 CST 2025","passed","Mon Jun 09 16:35:57 CST 2025","","test_upuser","",""
"","7538","windows64、32下载","tests.test_link","Mon Jun 09 16:37:11 CST 2025","passed","Mon Jun 09 16:37:19 CST 2025","","test_download_link","",""
"","11159","测试流程：配置行为管控策略","","Fri Jun 06 16:33:42 CST 2025","passed","Fri Jun 06 16:33:53 CST 2025","","","",""
